[INFO] 2017-10-09T09:29:28+05:30 |200|-0.525076 s|192.168.0.3|GET /
[INFO] 2017-10-09T13:24:53+05:30 |200|-0.572880 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T13:24:53+05:30 |200|-0.572863 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T13:28:27+05:30 |200|0.236516 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T13:28:27+05:30 |200|0.278309 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T13:29:02+05:30 |200|0.003426 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T13:29:11+05:30 |200|-0.047977 s|192.168.0.4|POST userlogin
[INFO] 2017-10-09T13:29:48+05:30 |200|0.610087 s|192.168.0.4|POST user_survey_display
[INFO] 2017-10-09T14:36:40+05:30 |200|-0.536500 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-10-09T14:37:05+05:30 |200|0.040103 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-10-09T14:40:09+05:30 |200|-0.444871 s|192.168.0.4|POST list_seva_app
[INFO] 2017-10-09T14:40:17+05:30 |200|0.078350 s|192.168.0.4|GET area_reg_country
[INFO] 2017-10-09T14:40:18+05:30 |200|0.003636 s|192.168.0.4|GET area_reg_country
[INFO] 2017-10-09T14:40:18+05:30 |200|0.022010 s|192.168.0.4|GET area_reg_country
[INFO] 2017-10-09T14:40:18+05:30 |200|0.027747 s|192.168.0.4|GET area_reg_country
[INFO] 2017-10-09T14:40:29+05:30 |200|0.227512 s|192.168.0.4|POST list_mat
[INFO] 2017-10-09T14:41:03+05:30 |200|0.212837 s|192.168.0.4|POST profile_sibling_privacy
[INFO] 2017-10-09T14:41:03+05:30 |200|0.381988 s|192.168.0.4|POST profile_detail_accepts
[INFO] 2017-10-09T15:22:26+05:30 |200|-0.706160 s|192.168.0.4|POST userlogin
[INFO] 2017-10-09T15:22:26+05:30 |200|-0.422488 s|192.168.0.4|POST userlogin
[INFO] 2017-10-09T15:23:29+05:30 |200|0.097173 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-10-09T15:23:58+05:30 |200|0.169308 s|192.168.0.4|POST userlogin
[INFO] 2017-10-09T15:24:16+05:30 |200|0.064093 s|192.168.0.4|POST check_token_beginnig
