[INFO] 2017-09-09T09:32:54+05:30 |200|0.005508 s|192.168.0.3|GET /
[INFO] 2017-09-09T10:07:27+05:30 |200|0.014160 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-09-09T10:07:35+05:30 |200|0.073127 s|192.168.0.4|POST userlogin
[INFO] 2017-09-09T10:07:43+05:30 |200|0.005613 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-09-09T10:07:44+05:30 |200|0.005539 s|192.168.0.4|POST find_nokari_for_profile
[INFO] 2017-09-09T10:07:50+05:30 |200|0.005416 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-09-09T10:07:54+05:30 |200|0.003075 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:07:54+05:30 |200|0.003043 s|192.168.0.4|GET edu
[INFO] 2017-09-09T10:07:54+05:30 |200|0.003193 s|192.168.0.4|GET busness_catagery_data
[INFO] 2017-09-09T10:09:00+05:30 |200|0.003160 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-09-09T10:09:06+05:30 |200|0.004805 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-09-09T10:09:08+05:30 |200|0.002728 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:09:08+05:30 |200|0.002846 s|192.168.0.4|GET busness_catagery_data
[INFO] 2017-09-09T10:09:09+05:30 |200|0.003014 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:09:12+05:30 |200|0.004473 s|192.168.0.4|POST Business_Sub
[INFO] 2017-09-09T10:09:12+05:30 |200|0.003044 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:09:54+05:30 |200|0.003308 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-09-09T10:09:57+05:30 |200|0.004552 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-09-09T10:09:59+05:30 |200|0.003091 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:09:59+05:30 |200|0.003022 s|192.168.0.4|GET busness_catagery_data
[INFO] 2017-09-09T10:10:00+05:30 |200|0.002705 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T10:10:00+05:30 |200|0.004654 s|192.168.0.4|POST Business_Sub
[INFO] 2017-09-09T10:10:00+05:30 |200|0.002887 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T11:11:44+05:30 |200|0.003220 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T11:11:44+05:30 |200|0.002784 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T11:11:44+05:30 |200|0.002786 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T11:11:44+05:30 |200|0.002456 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T12:04:23+05:30 |200|0.003471 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-09-09T12:04:55+05:30 |200|0.046736 s|192.168.0.4|POST userlogin
[INFO] 2017-09-09T12:05:11+05:30 |200|0.003940 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-09-09T12:05:12+05:30 |200|0.002830 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T12:05:12+05:30 |200|0.002551 s|192.168.0.4|GET busness_catagery_data
[INFO] 2017-09-09T12:05:13+05:30 |200|0.002799 s|192.168.0.4|GET area_reg_country
[INFO] 2017-09-09T12:05:13+05:30 |200|0.004795 s|192.168.0.4|POST Business_Sub
[INFO] 2017-09-09T12:05:13+05:30 |200|0.002773 s|192.168.0.4|GET area_reg_country
