[INFO] 2017-11-20T09:21:00+05:30 |200|0.014465 s|192.168.0.3|GET /
[INFO] 2017-11-20T15:36:56+05:30 |200|-0.760725 s|192.168.0.5|POST adminlogin
[INFO] 2017-11-20T15:36:57+05:30 |200|0.002927 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:37:01+05:30 |200|0.003175 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:04+05:30 |200|0.063901 s|192.168.0.5|POST adminlogin
[INFO] 2017-11-20T15:38:04+05:30 |200|0.003517 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:11+05:30 |200|0.003674 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:11+05:30 |200|0.058193 s|192.168.0.5|POST users
[INFO] 2017-11-20T15:38:13+05:30 |200|0.001961 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:13+05:30 |200|0.003712 s|192.168.0.5|POST seva_list
[INFO] 2017-11-20T15:38:14+05:30 |200|0.002673 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:19+05:30 |200|0.002782 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:19+05:30 |200|0.004123 s|192.168.0.5|POST addvtisement_list
[INFO] 2017-11-20T15:38:21+05:30 |200|0.002352 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:25+05:30 |200|0.001710 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:25+05:30 |200|0.064439 s|192.168.0.5|POST corporate_list
[INFO] 2017-11-20T15:38:27+05:30 |200|0.001994 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:30+05:30 |200|0.002304 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:31+05:30 |200|0.002572 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:38:31+05:30 |200|0.200047 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:42:14+05:30 |200|0.111608 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:42:14+05:30 |200|0.232775 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:42:16+05:30 |200|0.002635 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:42:16+05:30 |200|0.007912 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:43:14+05:30 |200|0.002184 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:43:14+05:30 |200|0.005337 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:44:06+05:30 |200|0.002462 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:44:06+05:30 |200|0.006332 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:44:14+05:30 |200|0.002535 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:44:14+05:30 |200|0.007528 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-20T15:44:19+05:30 |200|0.003875 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-20T15:44:19+05:30 |200|0.004767 s|192.168.0.5|POST admin_survey_list
