[INFO] 2017-11-04T09:21:44+05:30 |200|0.127809 s|192.168.0.3|GET /
[INFO] 2017-11-04T09:41:01+05:30 |200|0.143410 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-04T09:41:11+05:30 |200|-0.784450 s|192.168.0.4|POST userlogin
[INFO] 2017-11-04T09:47:02+05:30 |200|0.043631 s|192.168.0.4|POST user_survey_answer_display
[INFO] 2017-11-04T09:47:14+05:30 |200|0.043949 s|192.168.0.4|POST list_seva_app
[INFO] 2017-11-04T09:47:21+05:30 |200|0.003619 s|192.168.0.4|POST userarealist
[INFO] 2017-11-04T09:47:42+05:30 |200|0.004537 s|192.168.0.4|POST userarealist
[INFO] 2017-11-04T09:47:53+05:30 |200|0.003022 s|192.168.0.4|POST user_location
[INFO] 2017-11-04T09:48:04+05:30 |200|-0.229952 s|192.168.0.4|POST user_location_update
[INFO] 2017-11-04T09:48:04+05:30 |200|-0.677861 s|192.168.0.4|POST user_location_update
[INFO] 2017-11-04T10:10:41+05:30 |200|0.006076 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-11-04T10:10:41+05:30 |200|0.005413 s|192.168.0.4|POST find_nokari_for_profile
[INFO] 2017-11-04T10:11:09+05:30 |200|0.004391 s|192.168.0.4|POST list_seva_app
[INFO] 2017-11-04T10:11:11+05:30 |200|0.004414 s|192.168.0.4|POST view_seva_app
[INFO] 2017-11-04T10:11:32+05:30 |200|0.018593 s|192.168.0.4|POST view_seva_app
[INFO] 2017-11-04T10:26:37+05:30 |200|0.002917 s|192.168.0.4|GET edu
[INFO] 2017-11-04T10:26:37+05:30 |200|0.003783 s|192.168.0.4|POST list_mat
[INFO] 2017-11-04T10:26:37+05:30 |200|0.002872 s|192.168.0.4|GET occp
[INFO] 2017-11-04T10:26:46+05:30 |200|0.004792 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-11-04T10:26:46+05:30 |200|0.004834 s|192.168.0.4|POST find_nokari_for_profile
[INFO] 2017-11-04T10:26:56+05:30 |200|0.005139 s|192.168.0.4|POST list_Blood_Doner
[INFO] 2017-11-04T10:26:57+05:30 |200|0.003319 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:26:57+05:30 |200|0.005525 s|192.168.0.4|POST view_profile_blood
[INFO] 2017-11-04T10:26:58+05:30 |200|0.002958 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:26:58+05:30 |200|0.003027 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:26:58+05:30 |200|0.002648 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:27:09+05:30 |200|0.004692 s|192.168.0.4|POST user_location
[INFO] 2017-11-04T10:27:21+05:30 |200|0.045121 s|192.168.0.4|POST user_location_update
[INFO] 2017-11-04T10:27:25+05:30 |200|0.004742 s|192.168.0.4|POST userarealist
[INFO] 2017-11-04T10:27:31+05:30 |200|0.004907 s|192.168.0.4|POST userarealist
[INFO] 2017-11-04T10:27:34+05:30 |200|0.004967 s|192.168.0.4|POST list_seva_app
[INFO] 2017-11-04T10:27:41+05:30 |200|0.006262 s|192.168.0.4|POST user_survey_answer_display
[INFO] 2017-11-04T10:27:50+05:30 |200|0.006021 s|192.168.0.4|POST user_survey_answer_display
[INFO] 2017-11-04T10:27:55+05:30 |200|0.127830 s|192.168.0.4|POST user_survey_add
[INFO] 2017-11-04T10:27:58+05:30 |200|0.005745 s|192.168.0.4|POST user_survey_answer_display
[INFO] 2017-11-04T10:28:16+05:30 |200|0.004996 s|192.168.0.4|POST list_Blood_Doner
[INFO] 2017-11-04T10:28:19+05:30 |200|0.004370 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-11-04T10:28:19+05:30 |200|0.004793 s|192.168.0.4|POST find_nokari_for_profile
[INFO] 2017-11-04T10:28:24+05:30 |200|0.003211 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:28:24+05:30 |200|0.002831 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:28:24+05:30 |200|0.002349 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-04T10:28:24+05:30 |200|0.002241 s|192.168.0.4|GET area_reg_country
