[INFO] 2017-11-02T09:28:56+05:30 |200|0.005658 s|192.168.0.3|GET /
[INFO] 2017-11-02T09:37:48+05:30 |200|0.231464 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:38:12+05:30 |200|-0.892847 s|192.168.0.4|POST userlogin
[INFO] 2017-11-02T09:38:29+05:30 |200|0.004699 s|192.168.0.4|POST user_location
[INFO] 2017-11-02T09:38:41+05:30 |200|0.041826 s|192.168.0.4|POST user_location_update
[INFO] 2017-11-02T09:38:45+05:30 |200|0.004493 s|192.168.0.4|POST user_location
[INFO] 2017-11-02T09:38:53+05:30 |200|0.004769 s|192.168.0.4|POST userarealist
[INFO] 2017-11-02T09:39:58+05:30 |200|0.019960 s|192.168.0.4|POST list_seva_app
[INFO] 2017-11-02T09:40:00+05:30 |200|0.006846 s|192.168.0.4|POST view_seva_app
[INFO] 2017-11-02T09:40:08+05:30 |200|0.005284 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T09:51:34+05:30 |200|-0.405070 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:51:49+05:30 |200|-0.486992 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:51:49+05:30 |200|-0.487041 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:53:33+05:30 |200|0.217642 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:53:35+05:30 |200|-0.764541 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:53:47+05:30 |200|0.710840 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:47+05:30 |200|0.130491 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:47+05:30 |200|0.334578 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:47+05:30 |200|0.474393 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:48+05:30 |200|0.306374 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:48+05:30 |200|0.001943 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:49+05:30 |200|0.001755 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:49+05:30 |200|0.000996 s|192.168.0.4|POST search_profile_bussness
[INFO] 2017-11-02T09:53:55+05:30 |200|0.092486 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-11-02T09:53:56+05:30 |200|0.002609 s|192.168.0.4|GET busness_catagery_data
[INFO] 2017-11-02T09:53:56+05:30 |200|0.139438 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-02T09:53:56+05:30 |200|0.004408 s|192.168.0.4|POST Business_Sub
[INFO] 2017-11-02T09:53:56+05:30 |200|0.001853 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-02T09:53:57+05:30 |200|0.046608 s|192.168.0.4|GET area_reg_country
[INFO] 2017-11-02T09:54:00+05:30 |200|0.002629 s|192.168.0.4|GET edu
[INFO] 2017-11-02T09:54:00+05:30 |200|0.002091 s|192.168.0.4|GET edu
[INFO] 2017-11-02T09:54:15+05:30 |200|0.041293 s|192.168.0.4|POST add_nokari_profile
[INFO] 2017-11-02T09:54:18+05:30 |200|-0.938920 s|192.168.0.4|POST add_nokari_profile
[INFO] 2017-11-02T09:54:26+05:30 |200|-0.932472 s|192.168.0.4|POST userarealist
[INFO] 2017-11-02T09:54:29+05:30 |200|0.245049 s|192.168.0.4|POST list_nokari_profile
[INFO] 2017-11-02T09:54:38+05:30 |200|0.038442 s|192.168.0.4|POST list_mat
[INFO] 2017-11-02T09:56:15+05:30 |200|-0.244888 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:56:15+05:30 |200|-0.536158 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:56:33+05:30 |200|0.501135 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T09:56:38+05:30 |200|0.042209 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T09:56:47+05:30 |200|0.494478 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T09:56:47+05:30 |200|0.559667 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:12:39+05:30 |200|0.247837 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:12:39+05:30 |200|0.353407 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:13:03+05:30 |200|-0.800763 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:13:18+05:30 |200|-0.440076 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T10:15:13+05:30 |200|-0.303674 s|192.168.0.5|POST adminlogin
[INFO] 2017-11-02T10:15:13+05:30 |200|0.039310 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:15:28+05:30 |200|0.028491 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:15:32+05:30 |200|0.104302 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:15:32+05:30 |200|0.263213 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-02T10:15:39+05:30 |200|0.062512 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:15:39+05:30 |200|0.118817 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-11-02T10:15:55+05:30 |200|-0.858598 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-11-02T10:15:55+05:30 |200|0.840248 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-11-02T10:15:57+05:30 |200|0.066034 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:15:57+05:30 |200|0.080245 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-02T10:16:14+05:30 |200|0.175211 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:16:15+05:30 |200|0.082539 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:16:15+05:30 |200|0.172571 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-02T10:16:17+05:30 |200|-0.405292 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T10:16:18+05:30 |200|-0.864785 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:16:18+05:30 |200|-0.844933 s|192.168.0.5|POST admin_servey_edit
[INFO] 2017-11-02T10:16:26+05:30 |200|0.004560 s|192.168.0.5|OPTIONS admin_survey_add
[INFO] 2017-11-02T10:16:27+05:30 |200|-0.290612 s|192.168.0.5|POST admin_survey_add
[INFO] 2017-11-02T10:16:28+05:30 |200|0.131615 s|192.168.0.5|POST check_login_admin
[INFO] 2017-11-02T10:16:28+05:30 |200|0.309479 s|192.168.0.5|POST admin_survey_list
[INFO] 2017-11-02T10:20:57+05:30 |200|0.024789 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:21:06+05:30 |200|0.048193 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T10:26:32+05:30 |200|0.111688 s|192.168.0.4|POST user_survey_add
[INFO] 2017-11-02T10:28:20+05:30 |200|0.043492 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:28:22+05:30 |200|0.052452 s|192.168.0.4|POST user_survey_display
[INFO] 2017-11-02T10:34:30+05:30 |200|0.043124 s|192.168.0.4|POST check_token_beginnig
[INFO] 2017-11-02T10:34:33+05:30 |200|0.086103 s|192.168.0.4|POST user_survey_display
